"Id","Title"
"336","Process good CAMT file"
"338","Debtor service desk"
"339","Debtor service desk senior"
"340","Debtor service desk manager"
"341","Customer service desk 1st line"
"342","Customer service desk 2nd line"
"343","Customer service desk senior"
"344","Customer service desk manager"
"345","IC desk"
"346","IC desk senior"
"347","CMIB"
"348","CMIB manager"
"349","Finance"
"350","Finance manager"
"351","Senior management"
"352","Application manager"
"353","Calamiteiten"
"354","Process good CAMT file"
"355","Check duplicates Bankaccount"
"356","Clean references"
"357","Match reference right invoice number"
"358","Match reference right invoice number with spaces"
"370","Select payments on Bankaccount"
"371","Select payments on Type"
"375","Select payments on Status"
"376","Select payments on PID"
"377","Filter payments on Date"
"378","Filter payments on Bank account"
"379","Filter payments on Name"
"380","Filter payments on Reference"
"381","Filter payments on Amount between X and Y"
"382","Filter payments on Amount >= X"
"383","Filter payments on Amount <= X"
"384","Assign all payments to user"
"385","Assign selected payments to user"
"386","Payments assigned to me"
"387","Unassigned payments"
"388","Payments assigned to me and Unassigned payments"
"389","Forward payment to BA, existing BA"
"390","Payback remainder"
"391","Right information is shown on payment to be matched"
"392","Right possible matches shown debtor"
"393","Right possible matches shown BA"
"394","Right possible matches shown Bailiff"
"395","Filter possible matches on Claim"
"396","Filter possible matches on Address"
"397","Filter possible matches on BA"
"398","Filter possible matches on Printed amount between X and Y"
"399","Filter possible matches on Printed amount >= X"
"400","Filter possible matches on Printed amount <= X"
"401","Filter possible matches on Open amount between X and Y"
"402","Filter possible matches on Open amount >= X"
"403","Filter possible matches on Open amount <= X"
"404","Add possible match"
"405","Stop costs"
"406","Remove matched to"
"407","Take remainder as profit"
"408","Save & next payment"
"409","Go to previous payment"
"410","Add note"
"415","Select Daily settlements Unsettled"
"416","Select Daily settlements Settled"
"417","Select Paybacks"
"418","Select Pay forwards"
"419","Select Payments to IC"
"420","Select Forwards to Bailiff"
"421","Select Manual Risk estimation"
"423","Change settlement date"
"424","Add correction"
"425","Add warning"
"426","Move selected to parked"
"427","Move selected to to be checked"
"428","Move all to checked"
"429","Check Sort"
"434","Send payment for selected settlements"
"440","Filter To IBAN"
"441","Filter From IBAN"
"442","Move selected to parked"
"443","Move selected to checked"
"444","Open matching screen"
"445","Check Sort"
"446","Open payment"
"447","Filter To IBAN"
"448","Filter From IBAN"
"449","Automatically park paybacks > 500"
"450","Automatically park paybacks different IBAN"
"451","Move to to be checked"
"452","Open payment"
"453","Filter From IBAN"
"454","Filter To IBAN"
"455","Move to to be checked"
"456","Send payment for all paybacks"
"457","Send payment for selected paybacks"
"458","Check Sort"
"480","Header uzovi starting with 5, Client uzovi starting with 5"
"493","Header uzovi starting with 5, Client uzovi not starting with 5"
"494","Header uzovi not starting with 5, Client uzovi not starting with 5"
"495","Header uzovi not starting with 5, Client uzovi starting with 5"
"496","Header uzovi not starting with 5, Client uzovi not starting with 5"
"497","Contract no supported format"
"498","No COV Check"
"499","No ZIP code check"
"501","No policy number check"
"502","Check automatically downgrade (from Complete to Basic) MZ301 WLZ"
"503","Check automatically downgrade for BA that processes both MZ301 and MZ301 WLZ"
"516","No clearinginfo present"
"521","BSN is niet aanwezig op clientniveau"
"522","Clearing is geen onderdeel van dit product"
"523","Stop Claim"
"524","Resurrection always to the insurer"
"525","Incorrect ClaimLines in MZ301 WLZ ClaimFile"
"526","No checks on high claim amounts (> €5000)"
"527","No Risk Fee calculation on the WLZ amounts"
"528","Format not selected on Care office"
"529","Value 03 in R0409 INDICATIE SOORT PRESTATIERECORD (MZ301 WLZ)"
"530","Value 03 in R0409 INDICATIE SOORT PRESTATIERECORD (MZ301)"
"531","Value 0 (Zero) in R0430 DECLARATIEBEDRAG (MZ301 WLZ)"
"532","Value 0 (Zero) in R0430 DECLARATIEBEDRAG (MZ301)"
"533","Value 020 in R0411 SOORT BIJZONDERE TANDHEELKUNDE (MZ301 WLZ)"
"534","Value 020 in R0411 SOORT BIJZONDERE TANDHEELKUNDE (MZ301)"
"535","Value 002 in R0411 SOORT BIJZONDERE TANDHEELKUNDE (MZ301 WLZ)"
"537","Value 003 in R0411 SOORT BIJZONDERE TANDHEELKUNDE (MZ301 WLZ)"
"538","Value 004 in R0411 SOORT BIJZONDERE TANDHEELKUNDE (MZ301 WLZ)"
"539","Value 014 in R0411 SOORT BIJZONDERE TANDHEELKUNDE (MZ301 WLZ)"
"540","Value 010 in R0412 PRESTATIECODELIJST (MZ301 WLZ)"
"541","Value <> 010 in R0412 PRESTATIECODELIJST (MZ301 WLZ)"
